German_Headword	Dutch_Headword	English_Headword	German_IPA	Dutch_IPA	English_IPA	German_Sound_Classes	Dutch_Sound_Classes	English_Sound_Classes	Cognateset_ID
bitten	bidden	bid	b ɪ t ə n	b ɪ d ə	b ɪ d	P V T V N	P V T V	P V T	397
machen	maken	make	m a x ə n	m aː k ə	m eɪ k	M V K V N	M V K V	M V K	398
Roggen	rogge	rye	r ɔ ɡ ə n	r ɔ ɣ ə	r aɪ	R V K V N	R V K V	R V	400
Wolle	wol	wool	v ɔ l ə	ʋ ɔ l	ʋ ʊ l	W V R V	W V R	W V R	407
See	zee	sea	z eː	z eː	s iː	S V	S V	S V	408
Wiesel	wezel	weasel	v iː z ə l	ʋ eː z ə l	ʋ iː z ə l	W V S V R	W V S V R	W V S V R	409
spreiten	spreiden	spread	ʃ p r ai t ə n	s p r ɛɪ d ə	s p r ɛ d	S P R V T V N	S P R V T V	S P R V T	412
Kraft	kracht	craft	k r a f t	k r ɑ x t	k r ɑː f t	K R V P T	K R V K T	K R V P T	413
Herd	haard	hearth	h eː r t	h aː r t	h ɑː θ	H V R T	H V R T	H V T	414
Tau	dauw	dew	t au	d ɑu ʋ	d j uː	T V	T V W	T J V	416
Wolf	wolf	wolf	v ɔ l f	ʋ ɔ l f	ʋ ʊ l f	W V R P	W V R P	W V R P	418
Herbst	herfst	harvest	h ɛ r p s t	h ɛ r f s t	h ɑː v ɪ s t	H V R P S T	H V R P S T	H V W V S T	419
Nacht	nacht	night	n a x t	n ɑ x t	n aɪ t	N V K T	N V K T	N V T	422
Lappen	lap	lap	l a p ə n	l ɑ p	l æ p	R V P V N	R V P	R V P	426
Welt	wereld	world	v ɛ l t	ʋ eː r ə l t	ʋ ɜː l d	W V R T	W V R V R T	W V R T	427
werfen	werpen	warp	v ɛ r f ə n	ʋ ɛ r p ə	ʋ ɔː p	W V R P V N	W V R P V	W V P	428
singen	zingen	sing	z ɪ ŋ ə n	z ɪ ŋ ə	s ɪ ŋ	S V N V N	S V N V	S V N	430
Macht	macht	might	m a x t	m ɑ x t	m aɪ t	M V K T	M V K T	M V T	432
Nagel	nagel	nail	n aː ɡ ə l	n aː ɣ ə l	n eɪ l	N V K V R	N V K V R	N V R	433
tun	doen	do	t uː n	d uː n	d uː	T V N	T V N	T V	434
Feuer	vuur	fire	f ɔy ə r	v yː r	f aɪ ə r	P V V R	W V R	P V V R	435
Zeichen	teken	token	ts ai x ə n	t eː k ə	t əʊ k ə n	K V K V N	T V K V	T V K V N	436
lecken	likken	lick	l ɛ k ə n	l ɪ k ə	l ɪ k	R V K V N	R V K V	R V K	438
sengen	zengen	singe	z ɛ ŋ ə n	z ɛ ŋ ə	s ɪ n ʤ	S V N V N	S V N V	S V N K	441
Gast	gast	guest	ɡ a s t	x ɑ s t	ɡ ɛ s t	K V S T	K V S T	K V S T	443
Mutter	moeder	mother	m ʊ t ə r	m uː d ə r	m ʌ ð ə r	M V T V R	M V T V R	M V T V R	444
Stamm	stam	stem	ʃ t a m	s t ɑ m	s t ɛ m	S T V M	S T V M	S T V M	446
Bast	bast	bast	b a s t	b ɑ s t	b æ s t	P V S T	P V S T	P V S T	448
Lid	lid	lid	l iː t	l ɪ t	l ɪ d	R V T	R V T	R V T	450
raten	raden	read	r aː t ə n	r aː d ɛ n	r iː d	R V T V N	R V T V N	R V T	452
bringen	brengen	bring	b r ɪ ŋ ə n	b r ɛ ŋ ə	b r ɪ ŋ	P R V N V N	P R V N V	P R V N	453
sondern	afzonderen	sunder	z ɔ n d ə r n	ɑ f s ɔ n d ə r ə	s ʌ n d ə r	S V N T V R N	V P S V N T V R V	S V N T V R	454
Dorn	doorn	thorn	d ɔ r n	d oː r n	θ ɔː n	T V R N	T V R N	T V N	455
wollen	willen	will	v ɔ l ə n	ʋ ɪ l ə	ʋ ɪ l	W V R V N	W V R V	W V R	456
schlafen	slapen	sleep	ʃ l aː f ə n	s l aː p ə	s l iː p	S R V P V N	S R V P V	S R V P	457
Ruder	roer	rudder	r uː d ə r	r uː r	r ʌ d ə r	R V T V R	R V R	R V T V R	458
Zunge	tong	tongue	ts ʊ ŋ ə	t ɔ ŋ	t ʌ ŋ	K V N V	T V N	T V N	459
Kamm	kam	comb	k a m	k ɑ m	k əʊ m	K V M	K V M	K V M	460
treten	treden	tread	t r eː t ə n	t r eː d ə	t r ɛ d	T R V T V N	T R V T V	T R V T	461
Balg	balg	belly	b a l k	b ɑ l x	b ɛ l ɪ	P V R K	P V R K	P V R V	462
Freund	vriend	friend	f r ɔy n t	v r iː n t	f r ɛ n d	P R V N T	W R V N T	P R V N T	463
Finger	vinger	finger	f ɪ ŋ ə r	v ɪ ŋ ə r	f ɪ ŋ ɡ ə r	P V N V R	W V N V R	P V N K V R	466
Mast	mast	mast	m a s t	m ɑ s t	m ɑː s t	M V S T	M V S T	M V S T	469
Distel	distel	thistle	d ɪ s t ə l	d ɪ s t ə l	θ ɪ s ə l	T V S T V R	T V S T V R	T V S V R	470
Zehe	teen	toe	ts eː ə	t eː n	t əʊ	K V V	T V N	T V	472
Linde	linde	linden	l ɪ n d ə	l ɪ n d ə	l ɪ n d ə n	R V N T V	R V N T V	R V N T V N	473
Nase	neus	nose	n aː z ə	n øː s	n əʊ z	N V S V	N V S	N V S	475
Reh	ree	roe	r eː	r eː	r əʊ	R V	R V	R V	476
Zaun	tuin	town	ts au n	t œy n	t aʊ n	K V N	T V N	T V N	477
leiten	leiden	lead	l ai t ə n	l ɛɪ d ə	l iː d	R V T V N	R V T V	R V T	478
Sieb	zeef	sieve	z iː p	z eː f	s ɪ v	S V P	S V P	S V W	479
bersten	barsten	burst	b ɛ r s t ə n	b ɑ r s t ə	b ɜː s t	P V R S T V N	P V R S T V	P V S T	480
Sonne	zon	sun	z ɔ n ə	z ɔ n	s ʌ n	S V N V	S V N	S V N	481
finden	vinden	find	f ɪ n d ə n	v ɪ n d ə	f aɪ n d	P V N T V N	W V N T V	P V N T	482
Werft	werf	warp	v ɛ r f t	ʋ ɛ r f	ʋ ɔː p	W V R P T	W V R P	W V P	484
Brust	borst	breast	b r ʊ s t	b ɔ r s t	b r ɛ s t	P R V S T	P V R S T	P R V S T	485
Halle	hal	hall	h a l ə	h ɑ l	h ɔː l	H V R V	H V R	H V R	488
Weile	wijl	while	v ai l ə	ʋ ɛɪ l	ʋ aɪ l	W V R V	W V R	W V R	489
Habicht	havik	hawk	h aː b ɪ x t	h aː v ɪ k	h ɔː k	H V P V K T	H V W V K	H V K	492
Fell	vel	fell	f ɛ l	v ɛ l	f ɛ l	P V R	W V R	P V R	493
Flachs	vlas	flax	f l a k s	v l ɑ s	f l æ k s	P R V K S	W R V S	P R V K S	496
schmieren	smeren	smear	ʃ m iː r ə n	s m eː r ə	s m ɪə r	S M V R V N	S M V R V	S M V R	497
setzen	zetten	set	z ɛ ts ə n	z ɛ t ə	s ɛ t	S V K V N	S V T V	S V T	498
Laus	luis	louse	l au s	l œy s	l aʊ s	R V S	R V S	R V S	500
Faust	vuist	fist	f au s t	v œy s t	f ɪ s t	P V S T	W V S T	P V S T	501
Vogel	vogel	fowl	f oː ɡ ə l	v oː ɣ ə l	f aʊ l	P V K V R	W V K V R	P V R	502
kneten	kneden	knead	k n eː t ə n	k n eː d ə	n iː d	K N V T V N	K N V T V	N V T	503
Biber	bever	beaver	b iː b ə r	b eː v ə r	b iː v ə r	P V P V R	P V W V R	P V W V R	508
Schaft	schacht	shaft	ʃ a f t	s x ɑ x t	ʃ ɑː f t	S V P T	S K V K T	S V P T	510
Buche	beukeboom	beech	b uː x ə	b øː k ə b oː m	b iː ʧ	P V K V	P V K V P V M	P V K	511
Sommer	zomer	summer	z ɔ m ə r	z oː m ə r	s ʌ m ə r	S V M V R	S V M V R	S V M V R	513
Gott	god	god	ɡ ɔ t	x ɔ t	ɡ ɔ d	K V T	K V T	K V T	514
Weg	weg	way	v eː k	ʋ ɛ x	ʋ eɪ	W V K	W V K	W V	516
folgen	volgen	follow	f ɔ l ɡ ə n	v ɔ l ɣ ə	f ɔ l əʊ	P V R K V N	W V R K V	P V R V	517
Huf	hoef	hoof	h uː f	h uː f	h uː f	H V P	H V P	H V P	518
Stuhl	stoel	stool	ʃ t uː l	s t uː l	s t uː l	S T V R	S T V R	S T V R	519
Stock	stok	stock	ʃ t ɔ k	s t ɔ k	s t ɔ k	S T V K	S T V K	S T V K	521
Schleim	slijm	slime	ʃ l ai m	s l ɛɪ m	s l aɪ m	S R V M	S R V M	S R V M	524
Mann	man	man	m a n	m ɑ n	m æ n	M V N	M V N	M V N	529
weben	weven	weave	v eː b ə n	ʋ eː v ə	ʋ iː v	W V P V N	W V W V	W V W	530
