German_Headword	Dutch_Headword	German_IPA	Dutch_IPA	German_Sound_Classes	Dutch_Sound_Classes	Cognateset_ID
Glut	gloed	ɡ l uː t	x l uː t	K R V T	K R V T	405
Wolle	wol	v ɔ l ə	ʋ ɔ l	W V R V	W V R	407
See	zee	z eː	z eː	S V	S V	408
Wiesel	wezel	v iː z ə l	ʋ eː z ə l	W V S V R	W V S V R	409
Riemen	riem	r iː m ə n	r iː m	R V M V N	R V M	410
saugen	zuigen	z au ɡ ə n	z œy ɣ ə	S V K V N	S V K V	411
spreiten	spreiden	ʃ p r ai t ə n	s p r ɛɪ d ə	S P R V T V N	S P R V T V	412
Kraft	kracht	k r a f t	k r ɑ x t	K R V P T	K R V K T	413
Herd	haard	h eː r t	h aː r t	H V R T	H V R T	414
Tau	dauw	t au	d ɑu ʋ	T V	T V W	416
kleben	kleven	k l eː b ə n	k l eː v ə	K R V P V N	K R V W V	417
Wolf	wolf	v ɔ l f	ʋ ɔ l f	W V R P	W V R P	418
Herbst	herfst	h ɛ r p s t	h ɛ r f s t	H V R P S T	H V R P S T	419
bergen	bergen	b ɛ r ɡ ə n	b ɛ r ɣ ə	P V R K V N	P V R K V	420
Saal	zaal	z aː l	z aː l	S V R	S V R	421
Nacht	nacht	n a x t	n ɑ x t	N V K T	N V K T	422
Rede	rede	r eː d ə	r eː d ə	R V T V	R V T V	423
Atem	adem	aː t ə m	aː d ə m	V T V M	V T V M	424
Lappen	lap	l a p ə n	l ɑ p	R V P V N	R V P	426
Welt	wereld	v ɛ l t	ʋ eː r ə l t	W V R T	W V R V R T	427
werfen	werpen	v ɛ r f ə n	ʋ ɛ r p ə	W V R P V N	W V R P V	428
Luft	lucht	l ʊ f t	l ʉ x t	R V P T	R V K T	429
singen	zingen	z ɪ ŋ ə n	z ɪ ŋ ə	S V N V N	S V N V	430
nehmen	nemen	n eː m ə n	n eː m ə	N V M V N	N V M V	431
Macht	macht	m a x t	m ɑ x t	M V K T	M V K T	432
Nagel	nagel	n aː ɡ ə l	n aː ɣ ə l	N V K V R	N V K V R	433
tun	doen	t uː n	d uː n	T V N	T V N	434
Feuer	vuur	f ɔy ə r	v yː r	P V V R	W V R	435
Zeichen	teken	ts ai x ə n	t eː k ə	K V K V N	T V K V	436
lecken	likken	l ɛ k ə n	l ɪ k ə	R V K V N	R V K V	438
schleifen	slijpen	ʃ l ai f ə n	s l ɛɪ p ə	S R V P V N	S R V P V	439
Schande	schande	ʃ a n d ə	s x ɑ n d ə	S V N T V	S K V N T V	440
sengen	zengen	z ɛ ŋ ə n	z ɛ ŋ ə	S V N V N	S V N V	441
pflegen	plegen	pf l eː ɡ ə n	p l eː ɣ ə	P R V K V N	P R V K V	442
Gast	gast	ɡ a s t	x ɑ s t	K V S T	K V S T	443
Mutter	moeder	m ʊ t ə r	m uː d ə r	M V T V R	M V T V R	444
Hof	hof	h oː f	h ɔ f	H V P	H V P	445
Stamm	stam	ʃ t a m	s t ɑ m	S T V M	S T V M	446
Bast	bast	b a s t	b ɑ s t	P V S T	P V S T	448
Luchs	los	l ʊ k s	l ɔ s	R V K S	R V S	449
Lid	lid	l iː t	l ɪ t	R V T	R V T	450
flechten	vlechten	f l ɛ x t ə n	v l ɛ x t ə	P R V K T V N	W R V K T V	451
raten	raden	r aː t ə n	r aː d ɛ n	R V T V N	R V T V N	452
bringen	brengen	b r ɪ ŋ ə n	b r ɛ ŋ ə	P R V N V N	P R V N V	453
sondern	afzonderen	z ɔ n d ə r n	ɑ f s ɔ n d ə r ə	S V N T V R N	V P S V N T V R V	454
Dorn	doorn	d ɔ r n	d oː r n	T V R N	T V R N	455
wollen	willen	v ɔ l ə n	ʋ ɪ l ə	W V R V N	W V R V	456
schlafen	slapen	ʃ l aː f ə n	s l aː p ə	S R V P V N	S R V P V	457
Ruder	roer	r uː d ə r	r uː r	R V T V R	R V R	458
Zunge	tong	ts ʊ ŋ ə	t ɔ ŋ	K V N V	T V N	459
Kamm	kam	k a m	k ɑ m	K V M	K V M	460
treten	treden	t r eː t ə n	t r eː d ə	T R V T V N	T R V T V	461
Balg	balg	b a l k	b ɑ l x	P V R K	P V R K	462
Freund	vriend	f r ɔy n t	v r iː n t	P R V N T	W R V N T	463
Wolke	wolk	v ɔ l k ə	ʋ ɔ l k	W V R K V	W V R K	464
hehlen	helen	h eː l ə n	h eː l ə	H V R V N	H V R V	465
Finger	vinger	f ɪ ŋ ə r	v ɪ ŋ ə r	P V N V R	W V N V R	466
lehren	leren	l eː r ə n	l eː r ə	R V R V N	R V R V	467
Specht	specht	ʃ p ɛ x t	s p ɛ x t	S P V K T	S P V K T	468
Mast	mast	m a s t	m ɑ s t	M V S T	M V S T	469
Distel	distel	d ɪ s t ə l	d ɪ s t ə l	T V S T V R	T V S T V R	470
schenken	schenken	ʃ ɛ ŋ k ə n	s x ɛ ŋ k ə	S V N K V N	S K V N K V	471
Zehe	teen	ts eː ə	t eː n	K V V	T V N	472
Linde	linde	l ɪ n d ə	l ɪ n d ə	R V N T V	R V N T V	473
Rahmen	raam	r aː m ə n	r aː m	R V M V N	R V M	474
Nase	neus	n aː z ə	n øː s	N V S V	N V S	475
Reh	ree	r eː	r eː	R V	R V	476
Zaun	tuin	ts au n	t œy n	K V N	T V N	477
leiten	leiden	l ai t ə n	l ɛɪ d ə	R V T V N	R V T V	478
Sieb	zeef	z iː p	z eː f	S V P	S V P	479
bersten	barsten	b ɛ r s t ə n	b ɑ r s t ə	P V R S T V N	P V R S T V	480
Sonne	zon	z ɔ n ə	z ɔ n	S V N V	S V N	481
finden	vinden	f ɪ n d ə n	v ɪ n d ə	P V N T V N	W V N T V	482
niesen	niezen	n iː z ə n	n iː z ə	N V S V N	N V S V	483
Werft	werf	v ɛ r f t	ʋ ɛ r f	W V R P T	W V R P	484
Brust	borst	b r ʊ s t	b ɔ r s t	P R V S T	P V R S T	485
Mistel	mistel	m ɪ s t ə l	m ɪ s t ə l	M V S T V R	M V S T V R	486
Schnur	snoer	ʃ n uː r	s n uː r	S N V R	S N V R	487
Halle	hal	h a l ə	h ɑ l	H V R V	H V R	488
Weile	wijl	v ai l ə	ʋ ɛɪ l	W V R V	W V R	489
leiden	lijden	l ai d ə n	l ɛɪ d ə	R V T V N	R V T V	490
Raub	roof	r au p	r oː f	R V P	R V P	491
Habicht	havik	h aː b ɪ x t	h aː v ɪ k	H V P V K T	H V W V K	492
Fell	vel	f ɛ l	v ɛ l	P V R	W V R	493
Rat	raad	r aː t	r aː t	R V T	R V T	495
Flachs	vlas	f l a k s	v l ɑ s	P R V K S	W R V S	496
schmieren	smeren	ʃ m iː r ə n	s m eː r ə	S M V R V N	S M V R V	497
setzen	zetten	z ɛ ts ə n	z ɛ t ə	S V K V N	S V T V	498
Lohn	loon	l oː n	l oː n	R V N	R V N	499
Laus	luis	l au s	l œy s	R V S	R V S	500
Faust	vuist	f au s t	v œy s t	P V S T	W V S T	501
Vogel	vogel	f oː ɡ ə l	v oː ɣ ə l	P V K V R	W V K V R	502
kneten	kneden	k n eː t ə n	k n eː d ə	K N V T V N	K N V T V	503
fangen	vangen	f a ŋ ə n	v ɑ ŋ ə	P V N V N	W V N V	504
lesen	lezen	l eː z ə n	l eː z ə	R V S V N	R V S V	505
Jammer	jammer	j a m ə r	j ɑ m ə r	J V M V R	J V M V R	506
Antwort	antwoord	a n t v ɔ r t	ɑ n t ʋ oː r t	V N T W V R T	V N T W V R T	507
Biber	bever	b iː b ə r	b eː v ə r	P V P V R	P V W V R	508
Abgott	afgod	a p ɡ ɔ t	ɑ f x ɔ t	V P K V T	V P K V T	509
Schaft	schacht	ʃ a f t	s x ɑ x t	S V P T	S K V K T	510
Buche	beukeboom	b uː x ə	b øː k ə b oː m	P V K V	P V K V P V M	511
Napf	nap	n a pf	n ɑ p	N V P	N V P	512
Sommer	zomer	z ɔ m ə r	z oː m ə r	S V M V R	S V M V R	513
Gott	god	ɡ ɔ t	x ɔ t	K V T	K V T	514
Scholle	schol	ʃ ɔ l ə	s x ɔ l	S V R V	S K V R	515
Weg	weg	v eː k	ʋ ɛ x	W V K	W V K	516
folgen	volgen	f ɔ l ɡ ə n	v ɔ l ɣ ə	P V R K V N	W V R K V	517
Huf	hoef	h uː f	h uː f	H V P	H V P	518
Stuhl	stoel	ʃ t uː l	s t uː l	S T V R	S T V R	519
Seil	zeel	z ai l	z eː l	S V R	S V R	520
Stock	stok	ʃ t ɔ k	s t ɔ k	S T V K	S T V K	521
schwenken	zwenken	ʃ v ɛ ŋ k ə n	z ʋ ɛ ŋ k ə	S W V N K V N	S W V N K V	522
Mist	mest	m ɪ s t	m ɛ s t	M V S T	M V S T	523
Schleim	slijm	ʃ l ai m	s l ɛɪ m	S R V M	S R V M	524
Meineid	meineed	m ai n ai t	m ɛɪ n eː t	M V N V T	M V N V T	525
Binse	bies	b ɪ n z ə	b iː s	P V N S V	P V S	526
dienen	dienen	d iː n ə n	d iː n ə	T V N V N	T V N V	527
spalten	spouwen	ʃ p a l t ə n	s p ɑu ʋ ə	S P V R T V N	S P V W V	528
Mann	man	m a n	m ɑ n	M V N	M V N	529
weben	weven	v eː b ə n	ʋ eː v ə	W V P V N	W V W V	530
