German_Headword	Dutch_Headword	English_Headword	German_IPA	Dutch_IPA	English_IPA	German_Sound_Classes	Dutch_Sound_Classes	English_Sound_Classes	Cognateset_ID
Weg	weg	way	v eː k	ʋ ɛ x	ʋ eɪ	W V K	W V K	W V	516
Wille	wil	will	v ɪ l	ʋ ɪ l	ʋ ɪ l	W V R	W V R	W V R	60
winden	winden	wind	v ɪ n d ə	ʋ ɪ n d ə	ʋ ɪ n d	W V N T V	W V N T V	W V N T	247
Winter	winter	winter	v ɪ n t ə r	ʋ ɪ n t ə r	ʋ ɪ n t ə r	W V N T V R	W V N T V R	W V N T V R	76
werfen	werpen	warp	v ɛ r f ə	ʋ ɛ r p ə	ʋ ɔː p	W V R P V	W V R P V	W V P	428
Wiesel	wezel	weasel	v iː z ə l	ʋ eː z ə l	ʋ iː z ə l	W V S V R	W V S V R	W V S V R	409
Westen	westen	west	v ɛ s t ə	ʋ ɛ s t ə	ʋ ɛ s t	W V S T V	W V S T V	W V S T	362
Witwe	weduwe	widow	v ɪ t v ə	ʋ eː d yː ʋ ə	ʋ ɪ d əʊ	W V T W V	W V T V W V	W V T V	55
Welt	wereld	world	v ɛ l t	ʋ eː l t	ʋ ɜː l d	W V R T	W V R T	W V R T	427
Widder	weder	wether	v ɪ d ə r	ʋ eː d ə r	ʋ ɛ ð ə r	W V T V R	W V T V R	W V T V R	307
ringen	wringen	wring	r ɪ ŋ ə	r ɪ ŋ ə	r ɪ ŋ	R V N V	R V N V	R V N	273
Wolf	wolf	wolf	v ɔ l f	ʋ ɔ l f	ʋ ʊ l f	W V R P	W V R P	W V R P	418
Wolle	wol	wool	v ɔ l	ʋ ɔ l	ʋ ʊ l	W V R	W V R	W V R	407
Wunder	wonder	wonder	v ʊ n d ə r	ʋ ɔ n d ə r	ʋ ʌ n d ə r	W V N T V R	W V N T V R	W V N T V R	288
Wort	woord	word	v ɔ r t	ʋ oː r t	ʋ ɜː d	W V R T	W V R T	W V T	65
Wurm	worm	worm	v ʊ r m	ʋ ɔ r m	ʋ ɜː m	W V R M	W V R M	W V M	309
Waffe	wapen	weapon	v a f ə	ʋ aː p ə	ʋ ɛ p ə	W V P V	W V P V	W V P V	185
Weib	wijf	wife	v ai b	ʋ ɛɪ f	ʋ aɪ f	W V P	W V P	W V P	538
Habicht	havik	hawk	h aː b ɪ x	h aː v ɪ k	h ɔː k	H V P V K	H V W V K	H V K	492
haben	hebben	have	h aː b ə	h ɛ b ə	h æ v	H V P V	H V P V	H V W	366
Hecke	heg	hedge	h ɛ k	h ɛ x	h ɛ dʒ	H V K	H V K	H V T	106
Hagel	hagel	hail	h aː g ə l	h aː ɣ ə l	h eɪ l	H V K V R	H V K V R	H V R	275
Hag	haag	haw	h aː k	h aː x	h ɔː	H V K	H V K	H V	207
heilen	helen	heal	h ai l ə	h eː l ə	h iː l	H V R V	H V R V	H V R	53
Heim	heem	home	h ai m	h eː m	h əʊ m	H V M	H V M	H V M	532
halten	houden	hold	h a l t ə	h ɑu d ə	h əʊ l d	H V R T V	H V T V	H V R T	343
Halle	hal	hall	h a l	h ɑ l	h ɔː l	H V R	H V R	H V R	488
Hammer	hamer	hammer	h a m ə r	h aː m ə r	h æ m ə r	H V M V R	H V M V R	H V M V R	120
handeln	handelen	handle	h a n d ə l	h ɑ n d ə l	h æ n d ə l	H V N T V R	H V N T V R	H V N T V R	145
Hand	hand	hand	h a n d	h ɑ n t	h æ n d	H V N T	H V N T	H V N T	108
Herbst	herfst	harvest	h ɛ r p s t	h ɛ r f s t	h ɑː v s t	H V R P S T	H V R P S T	H V W S T	419
Hasel	hazelaar	hazel	h aː z ə l	h aː z ə l	h eɪ z ə l	H V S V R	H V S V R	H V S V R	134
Haupt	hoofd	head	h au p t	h oː f t	h ɛ d	H V P T	H V P T	H V T	70
hauen	houwen	hew	h au ə	h ɑu ə	h uː	H V V	H V V	H V	26
Heu	hooi	hay	h ɔy	h oː	h eɪ	H V	H V	H V	222
Haar	haar	hair	h aː r	h aː r	h ɛə r	H V R	H V R	H V R	368
Helm	helm	helm	h ɛ l m	h ɛ l m	h ɛ l m	H V R M	H V R M	H V R M	174
helfen	helpen	help	h ɛ l f ə	h ɛ l p ə	h ɛ l p	H V R P V	H V R P V	H V R P	395
Hilfe	hulp	help	h ɪ l f	h ʉ l p	h ɛ l p	H V R P	H V R P	H V R P	131
Himmel	hemel	heaven	h ɪ m ə	h eː m ə	h ɛ v ə	H V M V	H V M V	H V W V	294
Hinde	hinde	hind	h ɪ n d ə	h ɪ n d ə	h aɪ n d	H V N T V	H V N T V	H V N T	133
Herz	hart	heart	h ɛ r ts	h ɑ r t	h ɑː t	H V R K	H V R T	H V T	32
Herd	haard	hearth	h eː r d	h aː r t	h ɑː θ	H V R T	H V R T	H V T	414
Nacken	nek	neck	n a k	n ɛ k	n ɛ k	N V K	N V K	N V K	319
Rabe	raaf	raven	r aː b ə	r aː f	r æ v ə	R V P V	R V P	R V W V	52
Honig	honing	honey	h oː n ɪ	h oː n ɪ	h ʌ n ɪ	H V N V	H V N V	H V N V	103
Hund	hond	hound	h ʊ n d	h ɔ n t	h aʊ n d	H V N T	H V N T	H V N T	93
Horn	hoorn	horn	h ɔ r n	h oː r n	h ɔː n	H V R N	H V R N	H V N	172
Weile	wijl	while	v ai l	ʋ ɛɪ l	ʋ aɪ l	W V R	W V R	W V R	489
Huf	hoef	hoof	h uː f	h uː f	h uː f	H V P	H V P	H V P	518
Hure	hoer	whore	h uː r	h uː r	h ɔː r	H V R	H V R	H V R	339
Aal	aal	eel	aː l	aː l	iː l	V R	V R	V R	212
Dach	dak	thatch	d a x	d ɑ k	θ æ tʃ	T V K	T V K	T V T	261
denken	denken	think	d ɛ ŋ k	d ɛ ŋ k	θ ɪ ŋ k	T V N K	T V N K	T V N K	98
Dank	dank	thanks	d a ŋ k	d ɑ ŋ k	θ æ ŋ k	T V N K	T V N K	T V N K	328
Ding	ding	thing	d ɪ ŋ	d ɪ ŋ	θ ɪ ŋ	T V N	T V N	T V N	196
Distel	distel	thistle	d ɪ s t ə l	d ɪ s t ə l	θ ɪ s ə l	T V S T V R	T V S T V R	T V S V R	470
Dieb	dief	thief	d iː b	d iː f	θ iː f	T V P	T V P	T V P	179
drei	drie	three	d r ai	d r iː	θ r iː	T R V	T R V	T R V	63
dreschen	dorsen	thrash	d r ɛ ʃ ə	d r s ə	θ r æ ʃ	T R V S V	T R S V	T R V S	370
Donner	donder	thunder	d ɔ n ə r	d ɔ n d ə r	θ ʌ n d ə r	T V N V R	T V N T V R	T V N T V R	150
Dorn	doorn	thorn	d ɔ r n	d oː r n	θ ɔː n	T V R N	T V R N	T V N	455
Durst	dorst	thirst	d ʊ r s t	d ɔ r s t	θ ɜː s t	T V R S T	T V R S T	T V S T	19
tausend	duizend	thousand	t au z ə n d	d œy z ə n t	θ aʊ z ə n d	T V S V N T	T V S V N T	T V S V N T	117
